-999999999,0.016792783,0.00%
0.016792783,0.22531896,1.00%
0.22531896,0.406628824,2.00%
0.406628824,0.528,3.00%
0.528,0.61455348,4.00%
0.61455348,0.704538006,5.00%
0.704538006,0.785241779,6.00%
0.785241779,0.860478439,7.00%
0.860478439,0.925637788,8.00%
0.925637788,0.989157426,9.00%
0.989157426,1.049263449,10.00%
1.049263449,1.107928131,11.00%
1.107928131,1.161454483,12.00%
1.161454483,1.213256993,13.00%
1.213256993,1.264944583,14.00%
1.264944583,1.314521561,15.00%
1.314521561,1.359620123,16.00%
1.359620123,1.402701993,17.00%
1.402701993,1.44456212,18.00%
1.44456212,1.487145106,19.00%
1.487145106,1.526431514,20.00%
1.526431514,1.564177546,21.00%
1.564177546,1.601378477,22.00%
1.601378477,1.63525462,23.00%
1.63525462,1.666494072,24.00%
1.666494072,1.695991102,25.00%
1.695991102,1.726493348,26.00%
1.726493348,1.753190965,27.00%
1.753190965,1.779920307,28.00%
1.779920307,1.806370979,29.00%
1.806370979,1.831618754,30.00%
1.831618754,1.855258042,31.00%
1.855258042,1.87820172,32.00%
1.87820172,1.901575782,33.00%
1.901575782,1.92408144,34.00%
1.92408144,1.945881588,35.00%
1.945881588,1.967629899,36.00%
>,<=,EPTS is
1.967629899,1.988044268,37.00%
1.988044268,2.008852494,38.00%
2.008852494,2.028371619,39.00%
2.028371619,2.047729809,40.00%
2.047729809,2.067360515,41.00%
2.067360515,2.08602601,42.00%
2.08602601,2.103549687,43.00%
2.103549687,2.121272391,44.00%
2.121272391,2.138745217,45.00%
2.138745217,2.155238877,46.00%
2.155238877,2.171798555,47.00%
2.171798555,2.187655031,48.00%
2.187655031,2.20478371,49.00%
2.20478371,2.220334018,50.00%
2.220334018,2.236277584,51.00%
2.236277584,2.252328585,52.00%
2.252328585,2.267395927,53.00%
2.267395927,2.282894047,54.00%
2.282894047,2.298980835,55.00%
2.298980835,2.313884052,56.00%
2.313884052,2.328309287,57.00%
2.328309287,2.343895756,58.00%
2.343895756,2.359202601,59.00%
2.359202601,2.374584729,60.00%
2.374584729,2.389687,61.00%
2.389687,2.404763237,62.00%
2.404763237,2.419128273,63.00%
2.419128273,2.434154072,64.00%
2.434154072,2.448736482,65.00%
2.448736482,2.463455168,66.00%
2.463455168,2.477822256,67.00%
2.477822256,2.491967479,68.00%
2.491967479,2.506297057,69.00%
2.506297057,2.520566051,70.00%
2.520566051,2.535569834,71.00%
2.535569834,2.550763862,72.00%
2.550763862,2.5671464,73.00%
2.5671464,2.582606434,74.00%
2.582606434,2.59824221,75.00%
2.59824221,2.615518823,76.00%
2.615518823,2.632106776,77.00%
2.632106776,2.649631075,78.00%
2.649631075,2.666710203,79.00%
2.666710203,2.684947726,80.00%
2.684947726,2.703707114,81.00%
2.703707114,2.722555989,82.00%
2.722555989,2.740898131,83.00%
2.740898131,2.761062971,84.00%
2.761062971,2.781250745,85.00%
2.781250745,2.801991315,86.00%
2.801991315,2.822353257,87.00%
2.822353257,2.845346875,88.00%
2.845346875,2.868354633,89.00%
2.868354633,2.891747945,90.00%
2.891747945,2.916334148,91.00%
2.916334148,2.941893242,92.00%
2.941893242,2.968090788,93.00%
2.968090788,2.996777574,94.00%
2.996777574,3.030195462,95.00%
3.030195462,3.067342108,96.00%
3.067342108,3.105900953,97.00%
3.105900953,3.160626581,98.00%
3.160626581,3.244160807,99.00%
3.244160807,3.728023867,100.00%
3.728023867,999999999,100.00%
